,startup_read,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_read,read,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
enable_4_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077325,0.07053175,0.00164725,0.0241065,0.65485975,0.87777175,2.560239,0.00098625,0.0216605396578,0.221706,2.345977,2.56933275
enable_4_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792000000001,0.0492825,9.59999999975e-05,0.023104,0.954775,1.16624225,2.50916925,0.00182275,0.0108570073087,0.21992675,2.3089895,2.53051275
enable_4_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000757749999999,0.01576075,5.07499999996e-05,0.01178075,0.96505075,1.13207125,2.383249,0.00075375,0.0140076900968,0.22322825,2.20452775,2.429385
enable_8_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076975,0.06684375,0.000681499999998,0.0194175,0.22155625,0.36921275,1.2489815,0.0003625,0.0163831110542,0.121277,1.633098,1.755227
enable_8_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000781,0.08077125,0.0021555,0.0215075,0.2943865,0.46677825,1.1540655,0.00111025,0.02066657883,0.13050275,1.524952,1.65640525
enable_8_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00117775,0.05363375,0.00480275,0.0115935,0.3302205,0.464177,1.22798025,0.00144925,0.0216724755389,0.12824825,1.56194425,1.69117725
enable_8_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007805,0.027999,0.002226,0.01130475,0.47902125,0.5912255,1.237502,0.00143825,0.0129565306913,0.1260755,1.607639,1.734538
enable_8_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076675,0.019574,4.89999999998e-05,0.00590925,0.500157,0.59575575,1.427958,0.0023235,0.017498105617,0.1141685,1.796044,1.91099425
enable_16_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00081375,0.04495875,0.0012685,0.011037,0.10699825,0.19426225,1.33547925,0.0005865,0.00833276464109,0.064054,1.91327275,1.97780625
enable_16_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077375,0.02342425,0.0012055,0.010829,0.16100275,0.23090025,1.31461575,0.000597,0.00858743611415,0.06098625,1.8882685,1.94967875
enable_16_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077125,0.03156775,0.000260999999999,0.0064895,0.167915,0.23773675,1.15689925,0.00203425,0.0107627295951,0.06360125,1.784125,1.84818575
enable_16_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076625,0.023578,0.0013565,0.00554575,0.2423165,0.3066525,0.73925875,0.003389,0.00727681755549,0.06851,1.387584,1.45651725
enable_16_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008215,0.01412775,0.00472175,0.0026465,0.2603345,0.31556375,1.1582955,0.00431325,0.00623494468883,0.060701,1.78340425,1.84457575
enable_32_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076875,0.0407065,0.0009645,0.00421725,0.0766295,0.13815125,0.818397,0.000738,0.00461816456114,0.03126375,1.5623845,1.593866
enable_32_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076875,0.0203395,0.0017385,0.004822,0.089827,0.1352225,1.04079975,0.00090975,0.00359851072697,0.030765,1.79142375,1.822417
enable_32_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077325,0.01508275,0.000455999999999,0.0029685,0.100922,0.136007,0.956581,0.0014605,0.00370334322781,0.03614125,1.63894225,1.67532725
enable_32_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078475,0.0101565,0.00211425,0.0027465,0.130125,0.16272975,0.72183875,0.003154,0.00456904360951,0.0421225,1.2458805,1.288263
enable_32_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076875,0.0030405,0.0022225,0.00142975,0.1423565,0.16707475,0.653649,0.003536,0.00344095151891,0.03899925,1.1802295,1.2195075
enable_64_4194304_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074275,0.012502,0.00150425,0.00182675,0.04255925,0.067329,0.83808525,0.000742,0.00179426777074,0.01858575,1.64840575,1.667102
enable_64_8388608_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075275,0.0048385,0.00207425,0.00301425,0.04790625,0.06894325,1.315202,0.0005595,0.00199099946705,0.0152825,1.922899,1.93828825
enable_64_16777216_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007605,0.0059855,0.00302825,0.00163725,0.0513695,0.0714855,0.595512,0.00141575,0.00274640310881,0.016712,1.32160675,1.33843125
enable_64_33554432_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000787,0.00369775,0.004218,0.00129175,0.06931475,0.088119,0.8771005,0.00298075,0.0020797225614,0.0164065,1.5959415,1.6124585
enable_64_67108864_524288_1000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007665,0.00012025,0.00841,0.00066125,0.07552,0.09421025,0.8261755,0.00452925,0.002035074694,0.01635925,1.57889025,1.59536125
