,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,tot,write_std,sync_read,sync_write,sync,non_hid_sync
enable_16_16777216_524288,0.00968075,0.83531975,0.004502,0.00298175,0.67159625,1.51779375,1.32307175,0.0662615,2.93919575,0.093338445,0.336901,289.576069,289.916861,0.20124
enable_16_33554432_524288,0.01005925,0.39972675,0.000177,0.06724375,0.72399075,1.1935245,1.30682175,0.40356775,2.934768,0.092183037,0.33079775,297.4444598,297.7791798,0.002265
enable_16_67108864_524288,0.009843,0.407722,0.00020425,0.14688775,0.7051965,1.2618795,1.30925875,0.24217175,2.936579,0.074635991,0.31997325,300.4739868,300.7977995,0.08452875
enable_32_4194304_524288,0.014877,0.40173575,0.01293225,0.00162725,0.27679725,0.69660225,0.66865575,0.09293675,1.64635025,0.055699859,0.16634475,288.9783708,289.1464848,0.04239925
enable_32_8388608_524288,0.01289425,0.3935535,0.01741675,0.001584,0.2666115,0.68193225,0.8263345,0.0861725,2.1093125,0.076862697,0.16994525,337.555605,337.7273898,0.04381975
enable_32_16777216_524288,0.01336575,0.2725955,0.00888075,0.00146225,0.3163385,0.600997,0.79709525,0.1363805,1.58314925,0.073764169,0.16908975,300.862185,301.03315,0.041757
enable_32_33554432_524288,0.01412475,0.21454575,0.00542675,0.06764325,0.37179525,0.660826,0.67430525,0.13894975,1.57657775,0.062555697,0.16810225,298.4336948,298.6037075,0.0020895
enable_32_67108864_524288,0.0146855,0.02534575,0.00024475,0.11348225,0.37950275,0.519457,0.67741175,0.2349125,1.54261575,0.084085938,0.17311125,299.4067383,299.5818125,0.002578
enable_64_4194304_524288,0.02062425,0.153816,0.01038325,0.00123475,0.07014225,0.237827,0.357545,0.095763,0.6661535,0.097334265,0.08060275,304.6157038,304.6971223,0.03439875
enable_64_8388608_524288,0.01916175,0.114256,0.01015675,0.001357,0.08220225,0.209579,0.2667835,0.104605,0.6793935,0.10498535,0.08153625,300.1920313,300.2743248,0.0202465
enable_64_16777216_524288,0.0173065,0.18148425,0.012671,0.00146175,0.09281125,0.28958025,0.29166975,1.1279525,2.35845,0.208557184,0.079678,260.922703,261.0031613,0.0578255
enable_64_33554432_524288,0.01862475,0.018185,0.027794,0.06175,0.11147375,0.219877,0.4744715,0.14548225,0.94865175,0.101992433,0.0837915,290.5105863,290.595202,0.02319925
enable_64_67108864_524288,0.02117,0.016051,0.0267655,0.0666835,0.115444,0.22559975,0.39708375,0.11389925,0.73979275,0.122263779,0.090255,370.7961518,370.8872845,0.088035
