,startup_read,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_read,read,startup_write,shuffle_all2all,shuffle_send,shuffle_recv,shuffle_waitall,shuffle_write,write,post_write,write_std,sync_read,sync_write,sync
disable_4_4194304_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00133275,0.87129725,0.001624,0.03279275,0.3808435,1.404109,3.653388,0.003121,0.0490284603024,0.0,0.0,0.0
disable_4_8388608_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127175,0.35384475,0.00237875,0.0344355,0.556913,1.079751,2.14101525,0.000554,0.0220434821974,0.0,0.0,0.0
disable_4_16777216_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00147875,0.2517295,0.0037865,0.0231905,0.59843325,1.0056885,1.2700545,0.00290975,0.0222744060922,0.0,0.0,0.0
disable_4_33554432_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00147775,0.195673,0.007265,0.0223785,0.94887275,1.31685025,1.264169,0.006571,0.0217247655926,0.0,0.0,0.0
disable_4_67108864_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150575,0.13760475,0.00525925,0.011624,0.99173575,1.28697675,1.4043505,0.00575775,0.0424727666678,0.0,0.0,0.0
disable_8_4194304_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00175175,1.088123,0.00150425,0.0205865,0.202857,1.37259075,3.1155795,0.002446,0.116006130692,0.0,0.0,0.0
disable_8_8388608_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001719,0.56706275,0.003497,0.01657625,0.2612155,0.91395475,1.8923155,0.00724125,0.0700693946927,0.0,0.0,0.0
disable_8_16777216_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001292,0.28459075,0.000180999999999,0.01230075,0.34307875,0.704203,1.45655075,0.0057585,0.0397003374616,0.0,0.0,0.0
disable_8_33554432_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00171825,0.22308275,0.004748,0.01104425,0.479733,0.79026275,1.43663775,0.004578,0.0617324921511,0.0,0.0,0.0
disable_8_67108864_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00153225,0.273027,0.01270375,0.0054615,0.49056775,0.85289275,1.19242975,0.0252125,0.0737374916979,0.0,0.0,0.0
disable_16_4194304_524288_1500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127525,1.4723835,0.0014815,0.00921224999999,0.12690825,1.6386035,2.62700375,0.026726,0.206247533335,0.0,0.0,0.0
